column,column_name
A2780N_PROPEN_SCR_MAIL_01,"A2780N_PROPEN_SCR_MAIL_01,A2780N_PROPEN_SCR_MAIL_01"
A2780N_PROPEN_SCR_MAIL_01_03,"A2780N_PROPEN_SCR_MAIL_01_03,A2780N_PROPEN_SCR_MAIL_01_03"
A2780N_PROPEN_SCR_MAIL_02,"A2780N_PROPEN_SCR_MAIL_02,A2780N_PROPEN_SCR_MAIL_02"
A2780N_PROPEN_SCR_MAIL_03,"A2780N_PROPEN_SCR_MAIL_03,A2780N_PROPEN_SCR_MAIL_03"
A2780N_PROPEN_SCR_MAIL_04,"A2780N_PROPEN_SCR_MAIL_04,A2780N_PROPEN_SCR_MAIL_04"
A2780N_PROPEN_SCR_MAIL_04_07,"A2780N_PROPEN_SCR_MAIL_04_07,A2780N_PROPEN_SCR_MAIL_04_07"
A2780N_PROPEN_SCR_MAIL_05,"A2780N_PROPEN_SCR_MAIL_05,A2780N_PROPEN_SCR_MAIL_05"
A2780N_PROPEN_SCR_MAIL_06,"A2780N_PROPEN_SCR_MAIL_06,A2780N_PROPEN_SCR_MAIL_06"
A2780N_PROPEN_SCR_MAIL_07,"A2780N_PROPEN_SCR_MAIL_07,A2780N_PROPEN_SCR_MAIL_07"
A2780N_PROPEN_SCR_MAIL_08,"A2780N_PROPEN_SCR_MAIL_08,A2780N_PROPEN_SCR_MAIL_08"
A2780N_PROPEN_SCR_MAIL_08_10,"A2780N_PROPEN_SCR_MAIL_08_10,A2780N_PROPEN_SCR_MAIL_08_10"
A2780N_PROPEN_SCR_MAIL_09,"A2780N_PROPEN_SCR_MAIL_09,A2780N_PROPEN_SCR_MAIL_09"
A2780N_PROPEN_SCR_MAIL_10,"A2780N_PROPEN_SCR_MAIL_10,A2780N_PROPEN_SCR_MAIL_10"
A2780N_PROPEN_SCR_MAIL_BLANK,"A2780N_PROPEN_SCR_MAIL_BLANK,A2780N_PROPEN_SCR_MAIL_BLANK"
A2781N_PROPEN_SCR_PHONE,"A2781N_PROPEN_SCR_PHONE,A2781N_PROPEN_SCR_PHONE"
A2781N_PROPEN_SCR_PHONE_01,"A2781N_PROPEN_SCR_PHONE_01,A2781N_PROPEN_SCR_PHONE_01"
A2781N_PROPEN_SCR_PHONE_01_03,"A2781N_PROPEN_SCR_PHONE_01_03,A2781N_PROPEN_SCR_PHONE_01_03"
A2781N_PROPEN_SCR_PHONE_02,"A2781N_PROPEN_SCR_PHONE_02,A2781N_PROPEN_SCR_PHONE_02"
A2781N_PROPEN_SCR_PHONE_03,"A2781N_PROPEN_SCR_PHONE_03,A2781N_PROPEN_SCR_PHONE_03"
A2781N_PROPEN_SCR_PHONE_04,"A2781N_PROPEN_SCR_PHONE_04,A2781N_PROPEN_SCR_PHONE_04"
A2781N_PROPEN_SCR_PHONE_04_07,"A2781N_PROPEN_SCR_PHONE_04_07,A2781N_PROPEN_SCR_PHONE_04_07"
A2781N_PROPEN_SCR_PHONE_05,"A2781N_PROPEN_SCR_PHONE_05,A2781N_PROPEN_SCR_PHONE_05"
A2781N_PROPEN_SCR_PHONE_06,"A2781N_PROPEN_SCR_PHONE_06,A2781N_PROPEN_SCR_PHONE_06"
A2781N_PROPEN_SCR_PHONE_07,"A2781N_PROPEN_SCR_PHONE_07,A2781N_PROPEN_SCR_PHONE_07"
A2781N_PROPEN_SCR_PHONE_08,"A2781N_PROPEN_SCR_PHONE_08,A2781N_PROPEN_SCR_PHONE_08"
A2781N_PROPEN_SCR_PHONE_08_10,"A2781N_PROPEN_SCR_PHONE_08_10,A2781N_PROPEN_SCR_PHONE_08_10"
A2781N_PROPEN_SCR_PHONE_09,"A2781N_PROPEN_SCR_PHONE_09,A2781N_PROPEN_SCR_PHONE_09"
A2781N_PROPEN_SCR_PHONE_10,"A2781N_PROPEN_SCR_PHONE_10,A2781N_PROPEN_SCR_PHONE_10"
A2781N_PROPEN_SCR_PHONE_BLANK,"A2781N_PROPEN_SCR_PHONE_BLANK,A2781N_PROPEN_SCR_PHONE_BLANK"
A3101N_RACE_AFRAM,"A3101N_RACE_AFRAM,A3101N_RACE_AFRAM"
A3101N_RACE_ASIAN,"A3101N_RACE_ASIAN,A3101N_RACE_ASIAN"
A3101N_RACE_HISP,"A3101N_RACE_HISP,A3101N_RACE_HISP"
A3101N_RACE_WHITE,"A3101N_RACE_WHITE,A3101N_RACE_WHITE"
A6685N_RFM_OFF_AVG_DLR_PR_ORD,"A6685N_RFM_OFF_AVG_DLR_PR_ORD,A6685N_RFM_OFF_AVG_DLR_PR_ORD"
A6686N_RFM_TOT_OFF_DLR_AMT,"A6686N_RFM_TOT_OFF_DLR_AMT,A6686N_RFM_TOT_OFF_DLR_AMT"
